scale_label,query_name,best_candidate_id,best_g_class,best_group,best_design_pattern,best_n_components,best_docs_examined,best_keys_examined,best_estimated_docs_examined_bytes,best_has_COLLSCAN,best_has_GROUP,best_collections_touched,candidate_id,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,sum_estimated_docs_examined_bytes,has_IXSCAN,has_COLLSCAN,has_GROUP,collections_touched,docs_examined_ratio_dbsr_over_schemalens,keys_examined_ratio_dbsr_over_schemalens,estimated_bytes_ratio_dbsr_over_schemalens,lower_estimated_bytes_method,lower_docs_examined_method
sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,primary,association_references,4,7,11,1798.0,False,False,financial_service_accounts_with_references;holdings;listed_securities;securities,dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,completed,2.0,5.8,5.8,2746.0,3604.0,True,False,False,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,0.8285714285714285,249.63636363636363,2.0044493882091214,SchemaLens,DBSR
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,2446,182,1025218.0,True,False,corporations;holdings;persons_deep_nested;securities,dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,completed,2.0,54.8,2746.0,2746.0,1575727.0,True,False,False,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,1.1226492232215863,15.087912087912088,1.5369677473473935,SchemaLens,SchemaLens
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g4__deep_nested_path,G4,primary,deep_nested_document,3,6718,8263,1065417.0,False,False,corporations_deep_nested;report_elements;statement_elements,dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,completed,1.0,24.0,24.0,24.0,701160.0,True,False,False,dbsr_rank13_financialreport_reportelement_statementelement,0.003572491813039595,0.0029045140989955223,0.6581085152574062,DBSR,DBSR
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,5514,5301,1057424.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,completed,1.0,100.0,100.0,0.0,21000.0,False,True,False,dbsr_rank01_listedsecurity,0.018135654697134566,0.0,0.019859583289200927,DBSR,DBSR
sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,G2,primary,embedded_containment,3,41,45,10298.0,False,False,financial_service_accounts_with_containment;listed_securities;securities,dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,completed,2.0,49.0,49.0,27452.0,14066.0,True,False,False,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,1.1951219512195121,610.0444444444445,1.3658962905418528,SchemaLens,SchemaLens
sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,672,722,123099.0,True,False,corporations;holdings;persons_deep_nested;securities,dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,completed,2.0,601.0,27451.0,27451.0,18696798.0,True,False,False,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,40.84970238095238,38.0207756232687,151.8842395145371,SchemaLens,SchemaLens
sf10,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,4,6742,8311,1067848.0,False,False,corporations_tradeoff;report_elements;reports;statement_elements,dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,completed,1.0,24.0,24.0,24.0,806664.0,True,False,False,dbsr_rank13_financialreport_reportelement_statementelement,0.0035597745476119848,0.0028877391408976055,0.7554108824476892,DBSR,DBSR
sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,50073,49911,10867290.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,completed,1.0,100.0,100.0,0.0,25100.0,False,True,False,dbsr_rank01_listedsecurity,0.001997084256984802,0.0,0.0023096834629424633,DBSR,DBSR
sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,G2,primary,embedded_containment,3,121,125,29098.0,False,False,financial_service_accounts_with_containment;listed_securities;securities,dbsr_q3_securitiesheldineachfinancialserviceaccount__materialized_baseline,completed,2.0,145.0,145.0,82352.0,39649.0,True,False,False,dbsr_rank01_listedsecurity;dbsr_rank07_financialserviceaccount_holding_listedsecurity,1.1983471074380165,658.816,1.3626022407038285,SchemaLens,SchemaLens
sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,4,1892,1922,339109.0,True,False,corporations;holdings;persons_deep_nested;securities,dbsr_q4_companiesreachedfrompersonthroughaccountholdinglistedsecurity__materialized_baseline,completed,2.0,1615.0,82351.0,82351.0,56742493.0,True,False,False,dbsr_rank11_person_financialserviceaccount_holding;dbsr_rank12_listedsecurity_security_corporation,43.52589852008457,42.846514047866805,167.32818356339703,SchemaLens,SchemaLens
sf30,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,4,6742,8311,1072171.0,False,False,corporations_tradeoff;report_elements;reports;statement_elements,dbsr_q5_reportsandmetricdataofcompany__materialized_baseline,completed,1.0,24.0,24.0,24.0,27960.0,True,False,False,dbsr_rank13_financialreport_reportelement_statementelement,0.0035597745476119848,0.0028877391408976055,0.026077929733223523,DBSR,DBSR
sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,primary,association_references,6,149093,148934,32616752.0,True,False,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,dbsr_q6_techuslistedsecuritieswithhighlasttradedvalue__materialized_baseline,completed,1.0,100.0,100.0,0.0,25400.0,False,True,False,dbsr_rank01_listedsecurity,0.0006707223008457808,0.0,0.0007787409365592258,DBSR,DBSR
