dataset,baseline,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_baseline_best_p95,mean_global_best_p95
fiben,always_embed,30,27,3,0.9,0.5555555555555556,1.0,0.8518518518518519,0.04710133963327835,0.0,0.6715243979123972,26.71475627468209,24.41235915499015
fiben,always_reference,30,30,0,1.0,0.4666666666666667,0.9333333333333333,0.7,0.07724808656594676,0.0021945308754396002,0.7029070821009586,22.99934451041433,21.99625419336371
fiben,depth_only,30,24,6,0.8,0.5416666666666666,0.7916666666666666,0.75,0.08887321725149873,0.0,0.7592721511660451,25.76173552903735,22.827372550818836
fiben,random_k,30,30,0,1.0,0.8036333333333332,1.0,0.8918666666666667,0.046461008351276416,0.0064764974392229,0.7424479118118287,22.52146621276081,21.99625419336371
fiben,relationship_type_only,30,30,0,1.0,0.5,0.8333333333333334,0.6,0.2772051209246736,0.0005007784711139,5.148322443719064,24.762759626222152,21.99625419336371
fiben,schema_lens,30,30,0,1.0,0.8333333333333334,1.0,0.8666666666666667,0.08010166361254165,0.0,1.3903518947787057,24.069407711115975,21.99625419336371
imdb,always_embed,30,30,0,1.0,0.5333333333333333,1.0,0.6333333333333333,0.11522466377364651,0.0,0.8959889924862883,41.50621387974145,41.367116566956
imdb,always_reference,30,30,0,1.0,0.4666666666666667,0.9333333333333333,0.7333333333333333,0.06698067399902913,0.0062479459536304,0.453568218884658,48.66675239146085,41.367116566956
imdb,depth_only,30,30,0,1.0,0.6333333333333333,0.9,0.7,0.07228245633039061,0.0,0.8959889924862883,41.49674430613231,41.367116566956
imdb,random_k,30,30,0,1.0,0.7771666666666668,0.9812333333333333,0.8756333333333334,0.04138035544673409,0.00488437820052015,0.3452180823503495,41.38629744362899,41.367116566956
imdb,relationship_type_only,30,30,0,1.0,0.26666666666666666,0.5333333333333333,0.5333333333333333,3.065532227197744,0.0386872687850549,38.0906530366016,50.61246438765616,41.367116566956
imdb,schema_lens,30,30,0,1.0,0.6333333333333333,1.0,0.8333333333333334,0.038720678054772736,0.0,0.453568218884658,41.382109625580284,41.367116566956
ldbc_snb,always_embed,66,33,33,0.5,0.3939393939393939,0.8181818181818182,0.48484848484848486,0.19418682512112112,0.0572752716624444,1.4081701039427823,38.765192736459674,35.18454012001078
ldbc_snb,always_reference,66,66,0,1.0,0.7727272727272727,1.0,0.8333333333333334,0.13972653169159543,0.0,4.459762526062796,41.59743719917032,41.28186145354641
ldbc_snb,depth_only,66,36,30,0.5454545454545454,0.5833333333333334,0.8888888888888888,0.7222222222222222,0.1570036899267894,0.0,1.4081701039427823,75.94650517918733,74.28185321738663
ldbc_snb,random_k,66,66,0,1.0,0.9774545454545455,1.0,0.9774545454545455,0.012815452336262162,0.0,0.5192042628106406,41.30274575655114,41.28186145354641
ldbc_snb,relationship_type_only,66,57,9,0.8636363636363636,0.6842105263157895,0.9473684210526315,0.7719298245614035,0.07962992923639382,0.0,1.0907164170554389,48.629878594715194,47.56477515610433
ldbc_snb,schema_lens,66,66,0,1.0,0.9848484848484849,1.0,0.9848484848484849,0.007845603554576716,0.0,0.5178098346020632,41.29981277883141,41.28186145354641
